ROW,ACADEMIC_PERIOD,STUDENT_LEVEL,MODALITY_DESC
790,202310,GR,Online
791,202310,GR,Online
792,202310,UG,Both
793,202310,UG,Online
794,202310,UG,Online
795,202310,UG,Online
796,202310,UG,Online
797,202310,UG,Online
798,202310,UG,Online
799,202310,UG,Both
800,202310,UG,Online
801,202310,UG,Online
802,202310,GR,Online
803,202310,GR,Online
804,202310,UG,Both
805,202310,UG,Online
806,202310,UG,Face-To-Face
807,202310,UG,Online
808,202310,GR,Face-To-Face
809,202310,GR,Online
810,202310,UG,Online
811,202310,GR,Online
812,202310,UG,Online
813,202310,UG,Online
814,202310,UG,Online
815,202310,UG,Online
816,202310,UG,Online
817,202310,UG,Online
818,202310,UG,Online
819,202310,GR,Both
820,202310,UG,Online
821,202310,GR,Online
822,202310,UG,Online
823,202310,UG,Online
824,202310,UG,Both
825,202310,UG,Both
826,202310,UG,Online
827,202310,UG,Face-To-Face
828,202310,GR,Online
829,202310,UG,Both
830,202310,UG,Online
831,202310,UG,Online
832,202310,GR,Face-To-Face
833,202310,GR,Online
834,202310,UG,Both
835,202310,GR,Online
836,202310,GR,Online
837,202310,GR,Online
838,202310,UG,Both
839,202310,UG,Online
840,202310,UG,Online
841,202310,UG,Online
842,202310,GR,Online
843,202310,GR,Online
844,202310,UG,Online
845,202310,GR,Online
846,202310,GR,Online
847,202310,UG,Online
848,202310,GR,Online
849,202310,GR,Online
850,202310,UG,Face-To-Face
851,202310,UG,Online
852,202310,GR,Online
853,202310,UG,Online
854,202310,UG,Online
855,202310,UG,Online
856,202310,GR,Online
857,202310,GR,Online
858,202310,GR,Face-To-Face
859,202310,UG,Online
860,202310,UG,Online
861,202310,UG,Both
862,202310,GR,Online
863,202310,UG,Online
864,202310,UG,Face-To-Face
865,202310,GR,Online
866,202310,UG,Face-To-Face
867,202310,GR,Face-To-Face
868,202310,UG,Online
869,202310,GR,Both
870,202310,UG,Online
871,202310,UG,Online
872,202310,GR,Online
873,202310,GR,Face-To-Face
874,202310,GR,Online
875,202310,GR,Face-To-Face
876,202310,UG,Online
877,202310,UG,Online
878,202310,GR,Online
879,202310,UG,Online
880,202310,UG,Both
881,202310,UG,Both
882,202310,UG,Online
883,202310,UG,Both
884,202310,UG,Face-To-Face
885,202310,GR,Online
886,202310,UG,Face-To-Face
887,202310,UG,Online
888,202310,UG,Online
889,202310,UG,Online
890,202310,GR,Face-To-Face
891,202310,GR,Online
892,202310,UG,Online
893,202310,UG,Online
894,202310,GR,Online
895,202310,GR,Online
896,202310,UG,Online
897,202310,UG,Online
898,202310,UG,Online
899,202310,GR,Online
900,202310,GR,Face-To-Face
901,202310,GR,Online
902,202310,GR,Online
903,202310,UG,Online
904,202310,GR,Online
905,202310,UG,Online
906,202310,UG,Online
907,202310,UG,Both
908,202310,UG,Both
909,202310,UG,Online
910,202310,GR,Face-To-Face
911,202310,UG,Both
912,202310,GR,Online
913,202310,GR,Online
914,202310,UG,Online
915,202310,GR,Online
916,202310,UG,Online
917,202310,GR,Online
918,202310,UG,Online
919,202310,UG,Online
920,202310,UG,Both
921,202310,GR,Online
922,202310,GR,Both
923,202310,GR,Online
924,202310,GR,Online
925,202310,UG,Online
926,202310,GR,Online
927,202310,UG,Online
928,202310,GR,Face-To-Face
929,202310,GR,Face-To-Face
930,202310,UG,Online
931,202310,GR,Online
932,202310,GR,Online
933,202310,GR,Both
934,202310,UG,Online
935,202310,GR,Online
936,202310,UG,Face-To-Face
937,202310,UG,Online
938,202310,UG,Online
939,202310,GR,Both
940,202310,UG,Online
941,202310,GR,Online
942,202310,UG,Online
943,202310,UG,Both
944,202310,UG,Both
945,202310,UG,Online
946,202310,UG,Online
947,202310,UG,Online
948,202310,UG,Online
949,202310,UG,Online
950,202310,UG,Online
951,202310,GR,Both
952,202310,UG,Both
953,202310,GR,Both
954,202310,UG,Face-To-Face
955,202310,UG,Online
956,202310,GR,Online
957,202310,UG,Online
958,202310,UG,Both
959,202310,UG,Online
960,202310,GR,Both
961,202310,GR,Online
962,202310,UG,Online
963,202310,GR,Online
964,202310,UG,Online
965,202310,UG,Online
966,202310,UG,Online
967,202310,UG,Both
968,202310,GR,Face-To-Face
969,202310,UG,Both
970,202310,UG,Online
971,202310,GR,Online
972,202310,GR,Face-To-Face
973,202310,UG,Online
974,202310,GR,Online
975,202310,UG,Online
